CCAA,cod_ine,date,total
Murcia,14,2020-03-11,0
Murcia,14,2020-03-12,1
Murcia,14,2020-03-13,1
Murcia,14,2020-03-16,2
Murcia,14,2020-03-17,3
Murcia,14,2020-03-18,4
Murcia,14,2020-03-19,6
Murcia,14,2020-03-20,11
Murcia,14,2020-03-21,14
Murcia,14,2020-03-22,16
Murcia,14,2020-03-23,23
Murcia,14,2020-03-24,26
Murcia,14,2020-03-25,33
Murcia,14,2020-03-26,36
Murcia,14,2020-03-27,53
Murcia,14,2020-03-28,58
Murcia,14,2020-03-29,58
Navarra,15,2020-03-04,1
Navarra,15,2020-03-05,1
Navarra,15,2020-03-06,1
Navarra,15,2020-03-09,1
Navarra,15,2020-03-10,2
Navarra,15,2020-03-11,3
Navarra,15,2020-03-12,3
Navarra,15,2020-03-13,4
Navarra,15,2020-03-16,5
Navarra,15,2020-03-17,10
Navarra,15,2020-03-18,10
Navarra,15,2020-03-19,11
Navarra,15,2020-03-20,19
Navarra,15,2020-03-21,25
Navarra,15,2020-03-22,30
Navarra,15,2020-03-23,40
Navarra,15,2020-03-24,45
Navarra,15,2020-03-25,51
Navarra,15,2020-03-26,54
Navarra,15,2020-03-27,75
Navarra,15,2020-03-28,84
Navarra,15,2020-03-29,90
País Vasco,16,2020-03-04,0
País Vasco,16,2020-03-05,0
País Vasco,16,2020-03-06,1
País Vasco,16,2020-03-09,5
País Vasco,16,2020-03-10,5
País Vasco,16,2020-03-11,15
País Vasco,16,2020-03-12,18
País Vasco,16,2020-03-13,20
País Vasco,16,2020-03-16,29
País Vasco,16,2020-03-17,33
País Vasco,16,2020-03-18,37
País Vasco,16,2020-03-19,44
País Vasco,16,2020-03-20,53
País Vasco,16,2020-03-21,71
País Vasco,16,2020-03-22,81
País Vasco,16,2020-03-23,92
País Vasco,16,2020-03-24,106
País Vasco,16,2020-03-25,119
País Vasco,16,2020-03-26,137
País Vasco,16,2020-03-27,154
País Vasco,16,2020-03-28,176
País Vasco,16,2020-03-29,271
La Rioja,17,2020-03-04,0
La Rioja,17,2020-03-05,0
La Rioja,17,2020-03-06,0
La Rioja,17,2020-03-09,1
La Rioja,17,2020-03-10,1
La Rioja,17,2020-03-11,1
La Rioja,17,2020-03-12,1
La Rioja,17,2020-03-13,2
La Rioja,17,2020-03-16,13
La Rioja,17,2020-03-17,13
La Rioja,17,2020-03-18,13
La Rioja,17,2020-03-19,15
La Rioja,17,2020-03-20,15
La Rioja,17,2020-03-21,17
La Rioja,17,2020-03-22,17
La Rioja,17,2020-03-23,22
La Rioja,17,2020-03-24,24
La Rioja,17,2020-03-25,33
La Rioja,17,2020-03-26,36
La Rioja,17,2020-03-27,43
La Rioja,17,2020-03-28,43
La Rioja,17,2020-03-29,43
Ceuta,18,2020-03-04,0
Ceuta,18,2020-03-05,0
Ceuta,18,2020-03-06,0
Ceuta,18,2020-03-09,0
Ceuta,18,2020-03-10,0
Ceuta,18,2020-03-11,0
Ceuta,18,2020-03-12,0
Ceuta,18,2020-03-13,0
Ceuta,18,2020-03-16,0
Ceuta,18,2020-03-17,0
Ceuta,18,2020-03-18,0
Ceuta,18,2020-03-19,0
Ceuta,18,2020-03-20,0
Ceuta,18,2020-03-21,0
Ceuta,18,2020-03-22,0
Ceuta,18,2020-03-23,0
Ceuta,18,2020-03-24,0
Ceuta,18,2020-03-25,1
Ceuta,18,2020-03-26,2
Ceuta,18,2020-03-27,2
Ceuta,18,2020-03-28,2
Ceuta,18,2020-03-29,2
Melilla,19,2020-03-04,0
Melilla,19,2020-03-05,0
Melilla,19,2020-03-06,0
Melilla,19,2020-03-09,0
Melilla,19,2020-03-10,0
Melilla,19,2020-03-11,0
Melilla,19,2020-03-12,0
Melilla,19,2020-03-13,0
Melilla,19,2020-03-16,0
Melilla,19,2020-03-17,0
Melilla,19,2020-03-18,0
Melilla,19,2020-03-19,0
Melilla,19,2020-03-20,1
Melilla,19,2020-03-21,1
Melilla,19,2020-03-22,1
Melilla,19,2020-03-23,1
Melilla,19,2020-03-24,1
Melilla,19,2020-03-25,2
Melilla,19,2020-03-26,2
Melilla,19,2020-03-27,2
Melilla,19,2020-03-28,2
Melilla,19,2020-03-29,2
